id_gatto,eta_mesi,razza,sesso,peso_nascita_kg,lunghezza_cm,altezza_spalla_cm,attivita_giornaliera,quantita_cibo_giorno_g,tipo_cibo,pelo_lungo,sterilizzato,temperatura_media_zona,vive_interno,peso_adulto_kg
927,97,Persiano,Maschio,0.13,51.5,27.7,2.5,92.1,Misto,1,1,26.2,0,7.3
928,86,Siamese,Maschio,0.15,59.1,24.2,6.0,77.8,Misto,0,1,21.3,1,6.85
929,74,Siamese,Maschio,0.12,56.5,25.0,2.2,92.8,Umido,0,1,16.2,1,5.73
930,100,Europeo,Maschio,0.11,52.7,24.6,2.7,55.2,Misto,0,1,25.3,1,6.95
931,10,Europeo,Femmina,0.08,63.8,16.2,0.9,92.7,Misto,0,1,16.0,0,4.47
932,107,Maine Coon,Maschio,0.1,45.1,35.8,5.1,74.5,Umido,1,1,19.4,0,7.32
933,8,Europeo,Femmina,0.12,44.2,16.0,0.5,90.7,Umido,0,1,15.9,1,3.93
934,58,Maine Coon,Maschio,0.1,45.4,37.2,5.5,98.5,Secco,1,1,18.1,1,5.84
935,28,Bengala,Maschio,0.1,50.5,23.8,6.7,101.1,Misto,0,1,9.3,0,5.43
936,106,Maine Coon,Femmina,0.12,42.0,28.9,6.6,94.2,Misto,1,0,12.0,1,7.32
937,58,Europeo,Maschio,0.15,59.7,20.3,2.1,60.9,Umido,0,1,17.7,0,5.64
938,42,Bengala,Maschio,0.13,56.2,29.0,1.2,112.2,Secco,0,1,19.5,1,5.29
939,79,Europeo,Maschio,0.13,54.8,27.6,3.0,83.4,Misto,0,1,17.3,1,6.41
940,79,Maine Coon,Maschio,0.12,50.7,29.3,5.3,88.0,Umido,1,0,22.3,1,6.31
941,88,Persiano,Femmina,0.13,58.8,25.5,5.8,119.3,Umido,1,0,7.4,0,6.56
942,22,Siamese,Maschio,0.12,49.5,28.5,5.0,72.2,Misto,0,1,20.4,1,4.94
943,90,Europeo,Maschio,0.11,60.7,25.4,4.8,88.7,Umido,0,1,24.6,1,6.71
944,83,Maine Coon,Femmina,0.13,52.4,29.5,7.5,98.4,Umido,1,1,21.9,0,6.84
945,78,Bengala,Femmina,0.12,51.5,31.2,3.3,82.0,Misto,0,1,21.3,0,6.74
946,115,Europeo,Maschio,0.1,64.0,38.0,2.8,91.1,Secco,0,1,23.0,1,8.24
947,6,Europeo,Maschio,0.15,50.0,29.3,2.2,72.8,Misto,0,0,12.0,1,3.99
948,56,Siamese,Femmina,0.08,49.4,28.2,4.6,87.8,Secco,0,0,11.9,1,5.05
949,50,Maine Coon,Maschio,0.15,52.6,27.5,3.7,90.0,Umido,1,1,16.4,1,5.84
950,82,Persiano,Femmina,0.13,54.5,30.7,5.2,117.7,Misto,1,1,17.5,0,6.97
951,9,Bengala,Maschio,0.1,49.2,29.3,3.3,119.7,Misto,0,1,18.9,0,4.39
952,67,Maine Coon,Femmina,0.12,60.6,24.6,4.9,93.2,Secco,1,1,12.0,0,6.43
953,70,Bengala,Femmina,0.11,49.6,33.0,3.4,110.8,Umido,0,0,16.7,0,6.01
954,118,Europeo,Femmina,0.14,52.3,26.2,3.8,73.1,Misto,0,1,22.8,0,7.13
955,109,Siamese,Maschio,0.14,57.8,32.7,3.9,132.8,Misto,0,1,16.2,1,7.71
956,37,Siamese,Maschio,0.13,44.9,29.6,1.4,77.9,Umido,0,1,10.0,1,4.77
957,39,Persiano,Maschio,0.13,42.5,23.6,3.8,86.9,Secco,1,1,10.1,0,5.17
958,97,Siamese,Maschio,0.12,61.7,22.1,4.8,100.2,Misto,0,1,23.0,1,7.19
959,100,Europeo,Femmina,0.16,53.0,28.7,2.5,102.1,Umido,0,0,25.4,0,6.42
960,77,Persiano,Femmina,0.14,39.6,15.7,6.9,90.4,Misto,1,1,14.1,0,6.15
961,44,Maine Coon,Femmina,0.11,55.3,26.3,4.0,47.8,Misto,1,1,22.3,1,4.98
962,31,Siamese,Maschio,0.14,45.0,20.3,3.1,99.3,Misto,0,0,21.1,1,4.2
963,39,Persiano,Maschio,0.13,52.9,42.5,3.0,67.8,Secco,1,0,10.9,0,5.35
964,59,Europeo,Maschio,0.11,58.5,33.2,6.1,107.7,Umido,0,1,20.5,1,5.89
965,8,Bengala,Femmina,0.11,47.1,25.8,2.8,100.6,Misto,0,1,21.5,1,4.44
966,55,Bengala,Maschio,0.14,36.3,34.4,4.4,92.7,Misto,0,1,16.6,1,5.78
967,17,Europeo,Maschio,0.12,33.0,29.4,5.3,108.7,Misto,0,1,16.0,1,4.65
968,70,Europeo,Femmina,0.13,47.3,22.7,4.8,79.8,Secco,0,1,19.1,1,5.4
969,59,Bengala,Femmina,0.15,50.5,24.8,3.2,113.9,Misto,0,0,14.1,1,5.73
970,113,Persiano,Maschio,0.17,64.7,35.8,5.3,93.9,Umido,1,1,23.8,0,7.98
971,10,Bengala,Femmina,0.11,48.0,20.7,4.2,84.7,Secco,0,1,17.9,1,3.79
972,99,Europeo,Maschio,0.12,73.2,31.9,1.4,105.6,Umido,0,1,15.8,1,7.33
973,99,Siamese,Femmina,0.12,44.5,33.3,5.8,78.3,Misto,0,1,17.3,0,7.14
974,62,Maine Coon,Femmina,0.12,52.0,26.8,3.1,44.1,Misto,1,0,23.0,1,5.57
975,22,Siamese,Femmina,0.13,44.1,26.9,3.7,62.4,Secco,0,1,17.3,1,4.66
976,117,Siamese,Maschio,0.11,58.3,35.0,4.5,117.7,Misto,0,1,15.7,0,8.1
977,52,Europeo,Maschio,0.09,62.5,31.5,3.2,91.4,Umido,0,1,10.1,1,5.95
978,28,Bengala,Maschio,0.16,60.5,28.6,5.1,93.6,Umido,0,1,18.9,1,4.62
979,84,Persiano,Femmina,0.13,53.8,29.1,2.3,102.8,Umido,1,1,16.6,1,6.55
980,106,Siamese,Femmina,0.11,61.6,33.2,3.1,92.1,Misto,0,1,12.0,0,7.39
981,90,Bengala,Femmina,0.13,55.5,19.4,5.8,86.1,Misto,0,1,20.2,0,6.69
982,19,Persiano,Femmina,0.16,39.4,33.3,4.0,79.2,Secco,1,1,12.5,0,4.25
983,71,Siamese,Maschio,0.1,52.2,27.9,2.4,61.3,Secco,0,1,14.8,0,6.07
984,80,Persiano,Maschio,0.12,49.5,25.3,4.1,66.9,Umido,1,1,20.3,1,6.59
985,56,Bengala,Maschio,0.09,50.2,30.8,4.6,92.7,Umido,0,0,20.3,0,5.24
986,108,Maine Coon,Femmina,0.12,49.8,33.3,1.6,80.1,Secco,1,1,18.4,0,7.04
987,43,Bengala,Femmina,0.13,50.4,22.3,6.5,102.8,Secco,0,1,16.6,0,5.77
988,69,Europeo,Maschio,0.1,54.0,28.8,6.7,91.7,Umido,0,1,15.6,0,6.36
989,103,Persiano,Femmina,0.12,60.2,30.3,4.2,67.1,Secco,1,1,13.6,0,7.92
990,43,Maine Coon,Maschio,0.14,51.5,27.0,3.7,92.3,Misto,1,1,16.6,0,5.58
991,55,Persiano,Femmina,0.13,61.9,35.9,4.0,91.7,Misto,1,0,23.3,0,5.89
992,103,Persiano,Femmina,0.1,70.6,30.0,5.3,90.9,Secco,1,1,12.5,1,7.22
993,87,Siamese,Maschio,0.13,50.9,28.7,4.7,92.5,Secco,0,0,5.1,0,7.28
994,35,Europeo,Maschio,0.13,55.3,23.3,4.4,128.1,Misto,0,0,14.3,0,5.51
995,84,Persiano,Femmina,0.12,68.2,25.1,6.1,68.4,Misto,1,0,25.6,1,6.62
996,96,Bengala,Maschio,0.14,61.6,31.8,5.7,72.3,Umido,0,1,16.0,1,7.09
997,56,Bengala,Maschio,0.11,55.6,25.5,2.6,51.2,Secco,0,1,18.1,1,5.18
998,68,Siamese,Femmina,0.13,39.0,27.5,5.3,92.5,Misto,0,1,18.4,0,6.07
999,103,Europeo,Femmina,0.1,51.4,31.1,5.7,52.7,Secco,0,1,14.6,1,6.65
1000,57,Europeo,Femmina,0.09,47.8,28.2,4.4,93.3,Misto,0,0,24.8,1,5.43
1001,43,Bengala,Maschio,0.14,59.0,27.8,4.9,88.7,Misto,0,1,16.8,1,5.44
1002,102,Maine Coon,Femmina,0.12,50.1,30.8,3.5,75.5,Secco,1,1,23.4,1,7.21
1003,93,Siamese,Femmina,0.11,53.7,32.8,2.2,93.8,Umido,0,0,18.3,0,6.53
1004,84,Siamese,Femmina,0.1,59.3,42.4,6.8,99.5,Misto,0,1,18.5,1,7.05
1005,35,Bengala,Femmina,0.14,43.1,32.9,2.0,116.1,Secco,0,0,12.8,0,5.1
1006,111,Bengala,Femmina,0.09,58.1,28.7,6.5,105.3,Misto,0,1,23.1,1,7.74
1007,56,Maine Coon,Maschio,0.14,51.6,33.9,3.9,86.5,Secco,1,1,17.1,1,6.08
1008,86,Maine Coon,Femmina,0.13,59.7,24.0,5.9,46.2,Secco,1,0,18.7,1,6.7
1009,10,Europeo,Femmina,0.09,50.6,22.7,4.0,106.6,Misto,0,1,26.5,0,4.19
1010,34,Siamese,Maschio,0.12,52.8,30.2,5.4,109.6,Umido,0,1,19.4,1,5.8
1011,9,Siamese,Femmina,0.17,47.3,28.8,4.7,115.9,Misto,0,1,18.9,0,4.2
1012,15,Bengala,Femmina,0.14,34.8,28.8,3.0,40.2,Misto,0,1,22.9,1,4.0
1013,61,Europeo,Maschio,0.1,52.1,25.1,4.2,92.5,Umido,0,1,21.3,0,5.99
1014,22,Siamese,Femmina,0.13,47.6,23.2,3.8,100.8,Umido,0,1,15.7,0,4.92
1015,79,Europeo,Maschio,0.09,58.3,29.6,5.0,114.0,Secco,0,1,15.1,1,6.52
1016,22,Europeo,Femmina,0.09,44.2,24.8,4.2,100.4,Secco,0,1,20.2,1,4.6
1017,89,Bengala,Maschio,0.12,54.2,33.9,4.4,90.0,Umido,0,0,15.2,1,7.23
1018,93,Europeo,Maschio,0.13,54.8,28.3,2.5,64.6,Umido,0,1,18.2,1,6.55
1019,74,Maine Coon,Femmina,0.14,47.4,27.2,2.1,81.9,Misto,1,1,11.7,1,5.98
1020,39,Maine Coon,Maschio,0.14,40.8,18.8,4.1,96.0,Umido,1,1,26.4,1,4.72
1021,11,Persiano,Maschio,0.13,48.8,29.9,4.3,104.3,Misto,1,0,14.8,1,4.17
1022,58,Bengala,Femmina,0.09,57.9,29.5,2.4,53.1,Misto,0,1,21.0,1,4.67
1023,71,Persiano,Femmina,0.12,47.7,17.1,4.9,95.7,Misto,1,0,21.2,0,6.0
1024,82,Maine Coon,Maschio,0.14,51.7,31.3,4.9,60.3,Umido,1,1,26.7,0,7.13
1025,112,Persiano,Femmina,0.13,62.0,28.6,4.2,93.7,Umido,1,0,19.6,0,7.52
1026,48,Bengala,Maschio,0.12,56.3,31.3,4.0,65.1,Misto,0,0,16.0,0,5.72
1027,117,Bengala,Maschio,0.13,58.3,30.3,2.1,55.3,Umido,0,0,17.8,1,7.17
1028,80,Europeo,Femmina,0.13,55.9,25.0,2.1,120.4,Secco,0,1,13.7,1,7.13
1029,116,Siamese,Femmina,0.08,60.3,39.4,4.6,61.6,Secco,0,1,24.6,0,7.84
1030,28,Europeo,Maschio,0.14,52.8,34.3,2.8,72.9,Misto,0,1,16.4,1,4.91
1031,60,Bengala,Femmina,0.12,43.5,27.1,2.9,85.4,Umido,0,1,26.8,1,5.43
1032,85,Maine Coon,Femmina,0.13,66.9,31.1,4.4,47.2,Secco,1,1,14.7,1,6.74
1033,100,Maine Coon,Maschio,0.07,56.9,27.7,7.1,109.9,Misto,1,1,30.9,1,7.8
1034,80,Europeo,Maschio,0.15,58.1,20.5,3.4,72.8,Secco,0,1,14.6,1,5.75
1035,21,Bengala,Maschio,0.1,41.8,32.6,7.1,73.8,Misto,0,1,14.3,1,4.52
1036,13,Maine Coon,Maschio,0.17,45.0,21.7,3.9,106.3,Misto,1,1,14.8,0,4.47
1037,9,Bengala,Maschio,0.16,48.5,31.8,4.8,62.9,Misto,0,1,14.7,1,3.81
1038,109,Maine Coon,Maschio,0.09,43.3,33.9,5.4,99.8,Secco,1,1,19.9,1,7.23
1039,9,Bengala,Femmina,0.14,39.6,26.9,5.5,91.5,Misto,0,1,13.9,1,4.44
1040,61,Persiano,Maschio,0.1,46.0,27.8,4.5,90.1,Misto,1,1,12.3,1,5.75
1041,30,Bengala,Femmina,0.11,39.0,30.0,3.7,86.3,Secco,0,0,13.5,0,5.06
1042,72,Bengala,Femmina,0.11,52.9,23.9,5.2,93.0,Misto,0,0,28.1,0,5.97
1043,101,Europeo,Maschio,0.13,54.6,36.7,4.6,43.7,Secco,0,1,12.4,1,6.99
1044,72,Persiano,Femmina,0.13,62.2,29.3,3.3,69.1,Misto,1,1,18.9,1,6.6
1045,32,Siamese,Maschio,0.1,40.4,34.1,6.1,73.9,Umido,0,0,13.4,0,4.76
1046,98,Europeo,Femmina,0.13,56.4,29.3,4.7,111.6,Umido,0,0,20.3,1,7.05
1047,37,Siamese,Maschio,0.12,42.5,27.6,2.9,89.0,Secco,0,1,18.8,1,4.91
1048,55,Maine Coon,Maschio,0.08,38.5,29.1,2.7,85.6,Misto,1,1,26.3,1,5.55
1049,66,Siamese,Maschio,0.11,55.7,31.2,6.9,130.9,Secco,0,1,15.8,1,6.55
1050,56,Bengala,Maschio,0.15,55.3,36.9,3.3,46.1,Misto,0,1,20.1,1,5.47
1051,24,Siamese,Femmina,0.11,51.3,24.0,5.1,118.5,Secco,0,0,23.2,1,4.32
1052,26,Europeo,Femmina,0.08,38.4,25.7,4.6,89.4,Umido,0,1,16.2,0,4.65
1053,10,Europeo,Femmina,0.14,46.6,25.4,5.1,75.1,Secco,0,0,19.1,0,4.09
1054,87,Siamese,Femmina,0.1,57.9,17.8,6.9,83.1,Umido,0,1,10.5,1,6.23
1055,97,Europeo,Femmina,0.12,61.4,27.1,5.5,81.0,Umido,0,1,20.2,0,7.52
1056,47,Europeo,Maschio,0.12,54.1,24.9,5.3,120.6,Umido,0,1,18.9,0,5.74
1057,66,Siamese,Maschio,0.16,58.4,41.5,3.7,92.2,Secco,0,1,14.2,1,6.08
1058,27,Persiano,Maschio,0.12,55.2,27.6,3.0,99.7,Secco,1,1,11.8,1,5.19
1059,26,Persiano,Maschio,0.1,48.3,28.8,7.6,80.4,Umido,1,1,16.6,1,5.13
1060,75,Maine Coon,Maschio,0.11,56.0,21.4,3.9,90.0,Secco,1,1,12.1,1,6.01
1061,6,Europeo,Femmina,0.1,52.6,25.0,3.8,105.8,Misto,0,1,18.5,1,4.41
1062,10,Siamese,Maschio,0.12,48.7,30.2,4.4,111.3,Umido,0,1,21.1,1,4.3
1063,110,Europeo,Maschio,0.16,64.4,43.1,4.3,61.8,Misto,0,0,9.2,0,7.62
1064,17,Bengala,Femmina,0.14,52.8,22.4,6.4,109.0,Umido,0,1,13.8,0,5.31
1065,95,Europeo,Femmina,0.16,50.1,20.7,4.8,86.7,Misto,0,1,26.0,0,6.65
1066,51,Europeo,Maschio,0.13,41.0,23.7,2.0,91.3,Umido,0,1,21.1,0,5.6
1067,39,Persiano,Maschio,0.12,49.0,23.1,3.0,75.4,Umido,1,1,10.9,0,4.64
1068,54,Siamese,Femmina,0.1,42.1,23.9,4.0,118.5,Umido,0,0,15.5,1,6.04
1069,83,Europeo,Maschio,0.13,53.9,33.7,5.5,96.2,Secco,0,1,9.0,0,6.15
1070,95,Persiano,Maschio,0.12,54.4,31.5,1.7,71.6,Misto,1,1,23.7,0,7.14
1071,50,Maine Coon,Maschio,0.14,59.1,21.9,4.7,79.6,Umido,1,1,17.9,1,5.89
1072,32,Persiano,Femmina,0.1,51.7,33.7,5.1,107.4,Secco,1,1,18.7,0,5.34
1073,78,Persiano,Maschio,0.12,59.6,38.4,5.3,105.0,Umido,1,1,24.0,1,6.68
1074,31,Persiano,Maschio,0.09,44.7,18.0,3.9,89.4,Misto,1,0,16.8,1,4.6
1075,52,Europeo,Femmina,0.13,60.9,33.5,5.6,83.5,Umido,0,1,19.4,0,5.76
1076,91,Europeo,Femmina,0.13,60.4,28.7,2.8,104.7,Secco,0,1,23.4,1,6.46
1077,116,Maine Coon,Femmina,0.09,59.6,26.1,5.4,80.3,Umido,1,1,13.9,0,6.98
1078,61,Bengala,Maschio,0.09,38.5,20.8,3.9,76.3,Umido,0,1,11.8,0,5.99
1079,99,Bengala,Femmina,0.09,63.2,27.7,4.1,138.7,Umido,0,0,27.0,0,7.01
1080,112,Bengala,Maschio,0.12,68.6,28.0,4.0,95.6,Umido,0,0,14.3,1,7.4
1081,68,Maine Coon,Femmina,0.09,51.9,29.1,5.0,88.4,Secco,1,1,6.2,0,5.9
1082,53,Bengala,Maschio,0.15,50.5,38.4,2.3,75.7,Umido,0,1,14.4,0,5.73
1083,66,Bengala,Femmina,0.13,48.0,25.8,5.3,86.4,Misto,0,1,14.6,1,6.19
1084,86,Persiano,Maschio,0.13,42.2,22.3,5.3,115.6,Misto,1,0,28.1,0,6.42
1085,31,Europeo,Maschio,0.09,44.2,24.9,3.5,103.6,Umido,0,1,20.8,0,5.39
1086,41,Europeo,Femmina,0.15,60.7,32.3,4.0,75.0,Secco,0,1,16.9,1,5.41
1087,6,Persiano,Femmina,0.13,53.2,24.1,2.7,78.8,Misto,1,0,14.6,1,4.04
1088,13,Persiano,Maschio,0.11,40.9,28.9,2.3,58.3,Umido,1,0,21.4,1,4.17
1089,118,Persiano,Femmina,0.09,52.8,31.7,4.3,93.9,Umido,1,1,23.3,1,7.84
1090,104,Europeo,Maschio,0.12,70.3,30.5,4.3,9.2,Secco,0,0,20.5,1,6.96
1091,57,Bengala,Femmina,0.11,43.6,35.8,3.5,56.2,Umido,0,1,22.6,1,5.56
1092,84,Persiano,Femmina,0.11,48.4,24.4,2.1,86.0,Secco,1,1,25.8,1,6.29
1093,52,Maine Coon,Maschio,0.11,47.2,22.4,4.7,36.9,Misto,1,0,18.5,0,5.59
1094,61,Persiano,Femmina,0.13,41.6,23.5,3.5,132.7,Umido,1,1,15.5,0,6.42
1095,91,Siamese,Femmina,0.07,50.3,31.3,2.9,68.1,Secco,0,0,15.9,0,6.69
1096,19,Persiano,Maschio,0.15,43.2,26.2,5.9,101.5,Umido,1,0,24.3,0,4.86
1097,95,Europeo,Maschio,0.14,48.2,33.3,2.5,110.4,Umido,0,0,21.6,0,6.59
1098,33,Persiano,Femmina,0.12,57.6,26.3,4.8,95.0,Misto,1,0,18.7,1,4.69
1099,92,Siamese,Maschio,0.12,46.0,28.6,1.8,83.5,Umido,0,1,15.3,1,6.89
1100,83,Maine Coon,Femmina,0.14,52.3,30.8,1.8,72.2,Secco,1,1,14.0,1,6.21
1101,93,Bengala,Femmina,0.12,48.2,38.1,4.7,63.0,Secco,0,1,18.0,0,7.46
1102,7,Persiano,Maschio,0.11,44.2,19.5,3.5,77.5,Secco,1,0,13.0,0,3.78
1103,114,Siamese,Maschio,0.14,49.9,26.1,2.2,86.5,Umido,0,1,16.9,0,7.07
1104,31,Siamese,Maschio,0.16,48.6,26.8,5.4,90.3,Umido,0,0,24.0,1,4.53
1105,19,Maine Coon,Maschio,0.1,49.2,36.1,4.6,70.1,Misto,1,0,17.3,1,4.23
1106,64,Europeo,Maschio,0.13,61.2,22.8,0.8,102.9,Umido,0,1,16.8,0,6.19
1107,61,Persiano,Maschio,0.1,47.0,28.0,5.4,62.2,Secco,1,1,18.7,1,5.87
1108,12,Siamese,Femmina,0.13,57.5,21.2,2.4,96.7,Secco,0,1,22.8,1,4.13
1109,8,Maine Coon,Femmina,0.1,40.2,27.4,1.4,99.8,Misto,1,1,27.0,0,4.41
1110,116,Bengala,Maschio,0.14,54.9,20.5,2.8,90.4,Secco,0,0,12.2,1,7.02
1111,28,Siamese,Femmina,0.12,60.2,21.2,3.9,121.1,Secco,0,1,24.0,1,5.33
1112,115,Maine Coon,Femmina,0.12,76.8,37.1,4.1,96.3,Secco,1,0,22.0,1,7.5
1113,112,Europeo,Femmina,0.15,68.0,30.6,1.5,110.6,Misto,0,1,11.8,0,8.27
1114,116,Europeo,Femmina,0.11,55.0,27.1,1.9,30.5,Misto,0,1,13.1,1,7.22
1115,114,Siamese,Maschio,0.13,60.0,30.5,2.9,104.6,Secco,0,1,22.8,1,7.87
1116,23,Siamese,Femmina,0.11,52.1,25.8,3.0,97.7,Secco,0,0,20.8,0,4.28
1117,43,Persiano,Femmina,0.14,51.7,30.0,5.1,100.9,Umido,1,1,9.3,1,5.46
1118,104,Maine Coon,Maschio,0.16,48.3,19.8,3.4,99.1,Umido,1,0,13.8,0,7.66
1119,20,Siamese,Maschio,0.11,48.6,20.8,5.1,80.6,Secco,0,1,20.7,0,4.4
1120,69,Persiano,Maschio,0.08,48.4,23.7,5.6,106.4,Umido,1,1,22.6,1,6.29
1121,94,Persiano,Maschio,0.11,47.6,32.8,4.8,125.2,Secco,1,1,20.0,1,7.05
1122,106,Siamese,Femmina,0.17,53.4,30.3,0.5,43.4,Secco,0,1,7.5,1,6.93
1123,33,Europeo,Maschio,0.11,50.5,33.9,3.5,110.8,Umido,0,1,14.4,1,5.57
1124,79,Maine Coon,Femmina,0.16,59.9,33.1,3.8,85.0,Misto,1,1,13.1,1,7.09
1125,44,Maine Coon,Femmina,0.11,47.6,25.5,3.9,74.6,Misto,1,1,21.5,1,4.74
1126,62,Europeo,Maschio,0.11,50.6,27.9,0.9,57.6,Misto,0,1,15.7,1,5.56
1127,22,Siamese,Maschio,0.14,52.8,32.6,2.9,93.4,Secco,0,1,20.7,1,4.5
1128,108,Maine Coon,Maschio,0.13,56.3,37.6,2.0,115.7,Secco,1,1,18.9,1,7.81
1129,91,Siamese,Maschio,0.14,56.8,29.1,2.6,77.4,Misto,0,0,12.2,0,6.82
1130,95,Siamese,Maschio,0.12,55.0,24.8,3.6,100.5,Misto,0,1,22.4,1,6.71
1131,49,Persiano,Maschio,0.14,51.3,16.9,2.9,85.6,Misto,1,1,23.8,0,5.37
1132,30,Europeo,Femmina,0.14,40.4,16.0,2.7,52.5,Secco,0,0,22.7,0,4.43
1133,22,Siamese,Femmina,0.14,48.1,28.5,3.7,83.8,Secco,0,1,19.1,1,4.58
1134,18,Bengala,Femmina,0.11,56.8,28.2,3.3,73.3,Umido,0,1,17.5,0,4.93
1135,89,Europeo,Femmina,0.14,55.1,26.1,4.3,68.3,Umido,0,1,14.9,1,6.4
1136,30,Maine Coon,Maschio,0.11,42.2,33.0,3.4,78.2,Umido,1,0,24.3,0,5.02
1137,73,Persiano,Maschio,0.12,62.6,27.6,1.6,76.8,Misto,1,1,26.1,0,6.41
1138,15,Maine Coon,Femmina,0.12,51.5,22.8,2.5,105.1,Secco,1,1,14.7,0,5.02
1139,72,Maine Coon,Femmina,0.1,57.6,34.5,3.5,87.5,Umido,1,1,12.6,0,6.64
1140,110,Europeo,Femmina,0.09,61.2,35.7,3.3,58.5,Umido,0,1,12.8,1,6.97
1141,114,Maine Coon,Maschio,0.14,48.5,30.4,1.9,107.9,Umido,1,0,13.2,1,7.17
1142,23,Siamese,Maschio,0.11,51.8,28.7,5.0,97.7,Umido,0,0,19.6,0,4.38
1143,116,Maine Coon,Maschio,0.11,66.3,34.0,4.5,94.6,Misto,1,1,11.4,1,7.81
1144,105,Persiano,Femmina,0.11,52.1,41.1,3.1,103.7,Secco,1,1,15.2,1,7.46
1145,116,Persiano,Femmina,0.11,43.1,30.1,3.8,87.2,Secco,1,1,15.3,0,7.69
1146,91,Bengala,Maschio,0.11,56.7,23.7,2.4,74.1,Secco,0,0,18.9,1,6.91
1147,39,Persiano,Maschio,0.15,49.1,30.1,5.3,97.5,Umido,1,1,17.0,1,5.55
1148,116,Maine Coon,Femmina,0.11,45.8,31.1,7.1,106.7,Misto,1,0,20.2,0,7.53
1149,13,Persiano,Femmina,0.15,50.5,26.2,3.0,93.6,Misto,1,1,17.4,0,4.44
1150,45,Europeo,Maschio,0.14,53.2,27.1,5.8,107.8,Misto,0,0,19.0,1,5.6
1151,118,Persiano,Femmina,0.11,46.5,22.9,2.7,87.4,Secco,1,1,27.7,1,7.74
1152,113,Siamese,Maschio,0.13,69.5,32.0,3.2,66.5,Secco,0,1,18.7,0,8.22
1153,88,Europeo,Maschio,0.13,59.1,27.6,6.2,79.8,Misto,0,1,19.3,1,6.95
1154,47,Bengala,Femmina,0.14,36.5,25.8,3.8,115.1,Umido,0,0,30.1,0,5.26
1155,46,Siamese,Femmina,0.14,55.3,25.3,5.0,90.7,Secco,0,1,17.2,0,5.82
1156,106,Maine Coon,Femmina,0.12,61.1,30.1,3.6,64.6,Secco,1,1,25.3,0,7.96
1157,11,Maine Coon,Maschio,0.1,56.0,26.9,1.3,58.2,Umido,1,0,24.1,1,3.98
1158,57,Maine Coon,Femmina,0.13,46.3,27.7,7.5,68.2,Umido,1,0,13.3,1,5.27
1159,31,Siamese,Femmina,0.12,53.9,32.3,3.7,103.9,Secco,0,0,18.7,0,4.72
1160,69,Siamese,Maschio,0.06,50.2,32.2,4.2,94.6,Umido,0,1,21.2,1,6.12
1161,103,Siamese,Maschio,0.13,51.4,29.8,2.9,122.7,Umido,0,0,22.7,0,7.07
1162,64,Europeo,Femmina,0.11,45.3,23.0,5.2,101.9,Umido,0,1,14.1,1,5.86
1163,61,Europeo,Maschio,0.11,37.8,31.0,5.1,102.9,Umido,0,0,14.0,1,5.58
1164,64,Maine Coon,Maschio,0.12,55.2,26.6,1.7,123.2,Umido,1,0,22.4,0,6.31
1165,114,Persiano,Maschio,0.09,54.5,29.8,4.3,69.2,Misto,1,1,12.9,0,7.88
1166,75,Maine Coon,Femmina,0.12,33.4,22.2,5.3,60.6,Secco,1,1,16.4,0,6.18
1167,106,Bengala,Femmina,0.11,56.1,32.4,5.8,102.7,Misto,0,1,10.9,1,7.46
1168,38,Europeo,Maschio,0.1,56.9,39.9,5.0,85.1,Misto,0,0,13.8,1,5.24
1169,58,Siamese,Maschio,0.12,41.7,25.4,5.1,96.2,Misto,0,1,16.8,1,5.42
1170,27,Europeo,Maschio,0.09,42.7,29.5,3.2,110.9,Secco,0,1,17.3,1,5.06
1171,26,Siamese,Femmina,0.12,50.7,32.5,2.2,99.6,Secco,0,0,18.7,0,4.89
1172,75,Bengala,Maschio,0.13,34.6,26.1,3.5,117.3,Secco,0,1,17.3,0,5.65
1173,75,Bengala,Maschio,0.13,48.8,16.6,2.1,66.0,Misto,0,0,22.5,1,5.89
1174,117,Europeo,Femmina,0.14,59.1,34.3,2.9,103.7,Secco,0,1,24.2,1,7.77
1175,9,Siamese,Maschio,0.14,42.0,25.8,2.9,70.3,Misto,0,1,14.5,1,4.26
1176,99,Bengala,Femmina,0.12,45.8,31.5,2.6,118.6,Umido,0,0,9.6,0,7.22
1177,80,Maine Coon,Femmina,0.14,44.2,29.3,4.8,98.6,Secco,1,1,20.1,0,7.03
1178,67,Maine Coon,Femmina,0.12,40.4,34.1,2.5,95.1,Umido,1,1,23.1,0,6.05
1179,67,Siamese,Maschio,0.11,47.3,27.9,6.8,82.0,Misto,0,0,14.1,1,5.31
1180,99,Europeo,Maschio,0.11,62.3,40.8,5.5,80.4,Secco,0,1,16.5,1,7.68
1181,100,Bengala,Femmina,0.13,71.5,33.5,5.8,99.7,Secco,0,1,22.8,1,7.68
1182,29,Europeo,Maschio,0.14,48.2,31.5,3.0,121.0,Umido,0,1,23.5,0,5.0
1183,60,Maine Coon,Femmina,0.12,56.4,28.0,4.3,120.2,Misto,1,0,20.3,0,5.91
1184,14,Bengala,Maschio,0.11,39.8,27.3,2.4,92.0,Misto,0,1,18.2,0,4.47
1185,8,Europeo,Femmina,0.15,31.2,17.0,4.3,80.2,Secco,0,1,15.6,1,3.9
1186,36,Persiano,Femmina,0.09,61.6,23.9,1.3,94.1,Secco,1,0,19.1,0,4.9
1187,45,Siamese,Maschio,0.11,45.3,32.6,5.6,116.3,Secco,0,1,18.4,1,5.75
